Results from heasarc_fermilpsc: Fermi LAT Point Source Catalog
Coordinate system:  Equatorial
|ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|source_type|
|18 07 00.1|+69 45 34|   1.87872e-09|         3.19179e-10|bzb        |
|18 07 04.2|-09 06 13|   2.03327e-09|         6.08180e-10|           |
|18 07 38.3|-43 41 56|   1.30407e-09|         3.76891e-10|glc        |
|18 08 32.0|-19 54 17|   1.37737e-08|         1.58747e-09|           |
|18 09 40.4|+29 08 37|   9.36081e-10|         2.51261e-10|bzb        |
|18 09 50.2|-23 32 23|   6.39511e-08|         1.85512e-09|PSR        |
|18 10 22.3|+17 41 39|   2.17481e-09|         3.88323e-10|           |
|18 10 59.6|-19 05 05|   1.23954e-08|         1.47249e-09|           |
|18 11 04.2|+16 07 37|   1.86122e-09|         3.85862e-10|           |
|18 11 19.0|-19 59 32|   3.30133e-09|         1.28304e-09|psr        |
|18 11 23.2|+03 40 07|   1.46024e-09|         3.56692e-10|           |
|18 13 23.8|-12 46 02|   2.92257e-08|         1.36717e-09|PSR        |
|18 13 25.3|+31 41 38|   2.61684e-09|         3.81393e-10|bzb        |
|18 14 04.8|-17 36 04|   2.04495e-08|         1.67668e-09|           |
|18 16 17.9|-09 42 49|   2.52417e-09|         0.00000e+00|           |
|18 16 42.4|+45 09 28|   1.58269e-09|         3.13492e-10|           |
|18 17 03.9|+25 19 39|   9.73682e-10|         0.00000e+00|           |
|18 17 38.3|-16 51 38|   1.02831e-08|         1.45671e-09|           |
|18 18 10.1|+09 05 46|   2.16833e-09|         4.18109e-10|bzq        |
|18 18 42.6|-15 57 33|   8.37943e-09|         1.44217e-09|           |
|18 19 25.1|-15 18 27|   1.24531e-08|         1.48639e-09|           |
|18 20 35.9|-32 16 39|   1.96056e-09|         4.67437e-10|           |
|18 21 09.7|-14 25 12|   1.06403e-08|         1.44330e-09|           |
|18 22 41.0|-03 40 29|   1.80502e-09|         6.49830e-10|           |
|18 23 05.3|+08 28 34|   1.26988e-09|         3.53075e-10|           |
|18 23 15.2|-13 36 22|   1.61383e-08|         1.56691e-09|           |
|18 23 25.8|-30 09 37|   1.95795e-09|         4.52562e-10|           |
|18 23 35.1|-34 54 48|   1.78100e-09|         3.87349e-10|           |
|18 24 03.2|+56 51 59|   2.67419e-09|         3.72908e-10|bzb        |
|18 24 32.9|-24 49 45|   2.65281e-09|         5.48397e-10|glc        |
|18 24 41.7|+10 13 05|   8.77677e-10|         3.52446e-10|           |
|18 25 45.4|-14 10 56|   3.28231e-09|         0.00000e+00|           |
|18 26 08.5|-12 56 36|   5.57626e-08|         2.10498e-09|PSR        |
|18 26 15.1|-14 50 54|   2.63814e-08|         1.53645e-09|HXB        |
|18 27 59.2|-11 28 37|   9.83657e-09|         1.42578e-09|           |
|18 29 18.6|-24 23 01|   1.45908e-09|         4.21445e-10|           |
|18 29 37.9|-10 06 48|   6.94492e-09|         1.33077e-09|           |
|18 29 52.0|+54 04 42|   7.25727e-10|         2.24765e-10|bzb        |
|18 29 53.3|+48 45 12|   9.36769e-10|         2.74383e-10|agn        |
|18 30 01.3|+00 43 35|   3.10877e-09|         7.11958e-10|           |
|18 30 09.6|+06 18 04|   4.81854e-09|         5.79238e-10|agu        |
|18 30 11.2|-04 25 18|   5.73517e-09|         8.43991e-10|           |
|18 31 30.2|-02 00 44|   7.19869e-09|         9.02249e-10|           |
|18 32 38.2|-57 00 17|   1.69428e-09|         3.86922e-10|bzb        |
|18 33 15.7|-65 02 34|   8.13714e-10|         3.09008e-10|           |
|18 33 33.6|-10 34 08|   9.01464e-09|         1.25067e-09|PSR        |
|18 33 37.4|-21 03 49|   1.07292e-08|         8.12048e-10|bzq        |
|18 34 19.1|-08 42 36|   1.88532e-08|         1.72444e-09|spp        |
|18 34 43.3|-07 09 04|   1.87294e-08|         1.62543e-09|spp        |
|18 35 19.8|-32 55 44|   1.69689e-09|         4.00034e-10|glc        |
|18 35 21.8|+13 45 56|   7.89870e-10|         3.65434e-10|           |
|18 36 13.8|+59 25 30|   9.45963e-08|         1.79338e-09|PSR        |
|18 36 18.3|+31 35 21|   1.03613e-09|         3.12104e-10|           |
|18 37 34.3|-06 59 40|   1.59440e-08|         1.61875e-09|           |
|18 38 37.8|+47 56 44|   1.26726e-09|         2.92106e-10|bzb        |
|18 39 07.0|-05 43 47|   4.87990e-08|         1.98243e-09|           |
|18 41 54.6|+32 20 26|   1.40369e-09|         3.48544e-10|           |
|18 42 01.6|-14 09 40|   1.95125e-09|         0.00000e+00|           |
|18 42 21.4|-58 45 01|   5.88567e-10|         2.84357e-10|           |
|18 42 55.2|-03 59 20|   1.31562e-08|         1.71954e-09|           |
|18 44 08.4|+15 47 35|   1.55564e-09|         4.16083e-10|           |
|18 44 15.3|-03 42 46|   1.15459e-08|         1.73317e-09|           |
|18 44 21.7|-03 09 25|   9.63186e-09|         1.47455e-09|           |
|18 45 59.3|-11 33 02|   1.75275e-09|         0.00000e+00|           |
|18 46 05.4|-08 31 11|   3.57664e-09|         6.65980e-10|           |
|18 46 26.0|+09 19 46|   5.68352e-09|         6.33595e-10|PSR        |
|18 46 48.0|-02 33 46|   1.10947e-08|         1.56511e-09|           |
|18 48 11.3|-01 45 38|   1.77552e-08|         1.73660e-09|           |
|18 48 33.3|+32 24 01|   3.78985e-09|         4.57358e-10|bzq        |
|18 49 05.0|-00 55 33|   8.98092e-09|         1.45904e-09|           |
|18 49 22.2|+67 05 30|   1.33060e-08|         7.03561e-10|bzq        |
|18 49 36.8|-43 14 14|   1.21488e-09|         3.21826e-10|bzb        |
|18 49 42.3|-01 21 39|   5.74468e-09|         1.56944e-09|           |
|18 50 13.0|-00 19 44|   8.90011e-09|         1.29980e-09|           |
|18 52 33.4|+48 53 51|   9.15072e-10|         2.79464e-10|bzq        |
|18 53 09.2|+00 32 12|   8.53239e-09|         1.30273e-09|           |
|18 55 42.4|-11 36 27|   1.03547e-09|         4.92201e-10|           |
|18 56 09.4|+01 22 30|   7.56456e-08|         2.30290e-09|SNR        |
|18 57 06.8|+02 12 15|   1.77097e-08|         1.57545e-09|           |
|18 57 59.6|+03 52 44|   1.25277e-08|         1.40199e-09|           |
|18 58 08.5|-22 18 46|   2.14106e-09|         4.20702e-10|           |
|19 00 23.8|+04 20 11|   1.07011e-08|         1.44439e-09|           |
|19 01 41.3|-70 51 31|   1.13246e-09|         3.09949e-10|           |
|19 02 05.3|-51 10 12|   3.31218e-09|         4.47349e-10|           |
|19 02 20.7|+05 03 36|   1.07216e-08|         1.38929e-09|           |
|19 02 22.9|-68 02 22|   1.12636e-09|         0.00000e+00|bzq        |
|19 03 05.4|+55 39 02|   3.62737e-09|         4.16928e-10|bzb        |
|19 03 52.0|-37 18 32|   1.83728e-09|         4.33488e-10|           |
|19 04 24.7|-27 25 35|   7.70064e-10|         3.69602e-10|           |
|19 04 27.6|-07 03 33|   2.20966e-09|         4.99063e-10|           |
|19 06 36.1|+07 16 42|   1.64384e-08|         1.37944e-09|           |
|19 07 24.7|-03 58 20|   1.85997e-09|         5.13512e-10|           |
|19 07 54.7|+06 02 16|   3.89237e-08|         1.64158e-09|PSR        |
|19 08 13.1|+08 03 09|   6.61171e-09|         1.13911e-09|           |
|19 08 31.8|-01 38 07|   2.39988e-09|         5.18410e-10|           |
|19 10 59.4|+09 06 04|   2.41302e-08|         1.45470e-09|           |
|19 11 10.7|-53 06 34|   1.06758e-09|         3.32878e-10|           |
|19 11 14.0|-20 07 23|   4.51084e-09|         5.33137e-10|bzq        |
|19 11 45.7|+03 07 47|   1.67214e-09|         5.37899e-10|           |
|19 13 12.6|-07 44 20|   9.96392e-10|         4.45141e-10|           |
|19 13 44.4|+10 07 58|   5.94147e-09|         1.10384e-09|           |
|19 16 05.9|+11 10 21|   7.94549e-09|         1.10071e-09|spp        |
|19 16 56.4|-30 28 11|   9.99548e-10|         3.32099e-10|           |
|19 17 44.9|-19 22 00|   3.27109e-09|         4.45962e-10|bzb        |
|19 18 29.3|-41 08 27|   2.90294e-09|         4.27698e-10|bzb        |
|19 19 58.3|+66 33 37|   4.53647e-10|         2.25684e-10|           |
|19 21 07.3|-12 34 34|   9.70719e-10|         3.89630e-10|agu        |
|19 21 15.6|+01 32 54|   2.44989e-09|         4.84438e-10|           |
|19 22 00.5|-16 08 14|   1.58880e-09|         3.50877e-10|bzb        |
|19 22 58.8|+14 11 23|   3.80022e-08|         1.60611e-09|SNR        |
|19 23 32.4|-21 04 38|   1.18608e-08|         7.41470e-10|bzq        |
|19 25 06.0|+17 20 55|   3.74777e-09|         8.91511e-10|           |
|19 25 06.9|-10 18 55|   1.32619e-09|         3.94800e-10|bzb        |
|19 25 17.3|-29 19 02|   1.40060e-09|         3.69330e-10|bzq        |
|19 25 26.8|-38 11 23|   7.47945e-10|         3.61420e-10|           |
|19 26 11.8|+16 01 22|   7.22333e-09|         1.03389e-09|           |
|19 26 33.5|+16 47 42|   2.95093e-09|         9.76253e-10|           |
|19 26 53.9|+61 53 01|   1.93954e-09|         3.17088e-10|           |
|19 27 22.1|-79 32 27|   1.33832e-09|         0.00000e+00|           |
|19 28 42.6|-05 06 22|   1.71214e-09|         4.24618e-10|agu        |
|19 29 03.5|+17 41 53|   6.09565e-09|         9.79443e-10|           |
|19 30 51.0|+16 53 10|   5.24307e-09|         9.23448e-10|           |
|19 31 14.5|+09 39 14|   1.71294e-09|         4.16734e-10|bzb        |
|19 32 10.2|+19 14 33|   8.19095e-09|         9.48439e-10|           |
|19 33 23.0|+07 23 59|   9.86874e-10|         4.00217e-10|           |
|19 34 57.9|+20 31 27|   6.13973e-09|         9.31429e-10|agu        |
|19 36 54.9|-47 20 36|   1.11873e-09|         2.89903e-10|bzb        |
|19 38 15.7|+21 25 02|   3.79045e-09|         8.59382e-10|           |
|19 38 16.0|-39 57 38|   1.79468e-09|         4.04557e-10|bzq        |
|19 40 06.8|+22 09 55|   5.15746e-09|         8.81749e-10|           |
|19 41 41.2|+72 14 15|   1.66350e-09|         3.26765e-10|agu        |
|19 42 45.2|+10 33 37|   3.42962e-09|         4.72137e-10|           |
|19 43 28.0|+23 40 53|   4.04175e-09|         7.85103e-10|           |
|19 45 00.6|-07 24 05|   8.82677e-10|         3.74284e-10|           |
|19 46 11.7|-31 18 22|   7.78526e-10|         3.34756e-10|bzb        |
|19 46 46.5|-54 04 32|   1.38336e-09|         3.42393e-10|           |
|19 48 36.7|+24 37 44|   1.91578e-09|         6.98137e-10|           |
|19 50 05.1|+09 04 21|   7.86339e-10|         3.17918e-10|           |
|19 50 30.0|+12 26 03|   1.15730e-09|         3.66367e-10|           |
|19 52 58.2|+32 52 40|   2.02642e-08|         1.02930e-09|PSR        |
|19 54 19.2|+28 36 04|   1.54858e-08|         1.05989e-09|PSR        |
|19 54 49.8|-11 24 51|   3.69856e-09|         4.78768e-10|bzq        |
|19 54 52.2|+14 02 44|   1.29940e-09|         3.58896e-10|agu        |
|19 56 12.0|-02 38 39|   1.32563e-09|         0.00000e+00|           |
|19 57 39.0|+50 33 18|   3.02779e-09|         4.32194e-10|PSR        |
|19 58 26.4|-38 47 45|   2.70951e-09|         4.23313e-10|bzq        |
|19 58 28.7|-30 13 36|   7.99414e-10|         3.20156e-10|           |
|19 58 40.3|+28 45 54|   1.41585e-08|         1.00236e-09|PSR        |
|19 58 54.5|+34 59 51|   2.46721e-09|         5.77483e-10|           |
|19 59 18.9|-42 41 51|   1.55344e-09|         3.47635e-10|bzq        |
|19 59 37.4|+20 47 49|   2.62546e-09|         4.68484e-10|psr        |
|19 59 47.8|-47 30 00|   1.66435e-09|         3.33184e-10|           |
|20 00 05.2|+65 08 00|   5.98007e-09|         5.15878e-10|bzb        |
|20 00 59.2|-17 49 43|   2.77665e-09|         4.31415e-10|bzq        |
|20 01 11.9|+43 51 51|   1.02076e-08|         7.49509e-10|agu        |
|20 01 57.4|+70 40 56|   8.47174e-10|         3.48941e-10|agu        |
|20 04 44.5|+33 43 00|   4.29492e-09|         7.44614e-10|           |
|20 04 49.8|+70 04 16|   1.88207e-09|         3.66016e-10|           |
|20 06 01.6|+77 51 29|   1.43435e-09|         3.34268e-10|bzb        |
|20 06 39.1|-23 02 29|   1.58878e-09|         3.71113e-10|bzq        |
|20 07 00.9|+01 45 48|   1.06336e-09|         3.02315e-10|           |
|20 07 54.4|-44 30 21|   6.45463e-10|         2.86946e-10|agn        |
|20 08 37.5|-04 19 52|   1.13855e-09|         3.27667e-10|agn        |
|20 09 10.2|+72 28 09|   1.63527e-09|         3.66054e-10|bzb        |
|20 09 30.3|-48 49 46|   4.98880e-09|         5.14265e-10|bzb        |
|20 11 24.8|-29 03 31|   1.08874e-09|         0.00000e+00|           |
|20 12 12.0|+46 29 24|   3.20528e-09|         5.10882e-10|agu        |
|20 14 28.3|+06 47 20|   9.25022e-10|         3.41129e-10|           |
|20 14 33.6|-00 47 09|   9.20888e-10|         0.00000e+00|           |
|20 15 19.8|-01 29 37|   1.37845e-09|         3.20466e-10|bzb        |
|20 15 42.9|+37 08 24|   1.59564e-08|         1.13999e-09|           |
|20 15 52.4|-32 51 14|   7.90286e-10|         0.00000e+00|           |
|20 16 17.4|-09 03 08|   1.63343e-09|         3.25131e-10|           |
|20 17 21.6|+06 03 22|   6.89774e-09|         5.76224e-10|           |
|20 17 57.0|-16 21 16|   1.27043e-09|         3.07548e-10|           |
|20 20 00.8|+40 49 08|   4.60648e-09|         1.42408e-09|spp        |
|20 20 26.8|+76 08 05|   1.08277e-09|         3.16271e-10|bzb        |
|20 21 04.5|+36 51 27|   6.93849e-08|         1.88808e-09|PSR        |
|20 21 31.5|+40 26 45|   1.10106e-07|         2.50436e-09|PSR        |
|20 22 33.8|-45 32 05|   8.95783e-10|         3.25353e-10|           |
|20 23 44.7|-11 41 22|   1.50485e-09|         3.16309e-10|bzq        |
|20 25 40.2|-07 35 55|   1.24638e-08|         7.29442e-10|bzq        |
|20 25 54.0|-28 52 50|   1.13878e-09|         0.00000e+00|agu        |
|20 27 39.6|+33 35 31|   1.22943e-08|         8.97621e-10|           |
|20 29 05.7|-18 40 04|   5.45960e-10|         2.63099e-10|           |
|20 29 16.5|+49 24 56|   5.12131e-09|         6.23621e-10|agu        |
|20 30 00.4|+36 41 03|   7.04303e-09|         8.19290e-10|           |
|20 30 22.0|-06 17 59|   1.11670e-09|         3.11362e-10|bzq        |
|20 30 55.3|+44 11 53|   5.77806e-09|         8.67616e-10|           |
|20 31 32.4|+12 19 56|   1.47050e-09|         3.37673e-10|bzb        |
|20 32 13.0|+41 27 24|   2.25264e-08|         1.45203e-09|PSR        |
|20 32 25.8|+40 57 28|   7.43336e-09|         1.24066e-09|MQO        |
|20 32 48.1|+39 28 12|   1.74402e-09|         0.00000e+00|           |
|20 34 39.0|-42 02 33|   9.93211e-10|         0.00000e+00|           |
|20 34 47.2|+36 39 03|   2.02058e-09|         6.24150e-10|           |
|20 35 27.3|+11 00 08|   1.86285e-09|         3.56883e-10|bzq        |
|20 37 06.0|-33 29 08|   9.08977e-10|         3.20295e-10|           |
|20 37 10.0|+57 18 42|   1.10042e-09|         4.25073e-10|           |
|20 37 12.1|+49 44 42|   2.31517e-09|         5.53143e-10|           |
|20 38 08.1|+65 53 00|   1.32270e-09|         3.57007e-10|           |
|20 39 04.6|-10 47 27|   1.69372e-09|         3.23800e-10|bzb        |
|20 39 29.4|-56 21 13|   2.42771e-09|         3.97181e-10|           |
|20 40 03.7|+41 57 12|   2.52376e-09|         1.00487e-09|           |
|20 40 27.5|+46 52 11|   2.87275e-09|         6.57694e-10|           |
|20 40 58.1|-37 01 47|   8.10084e-10|         3.00485e-10|           |
|20 42 13.5|+24 27 48|   9.86231e-10|         2.87183e-10|           |
|20 42 18.4|+50 41 09|   1.92965e-09|         6.10942e-10|spp        |
|20 43 05.6|-73 17 28|   6.05259e-10|         2.80235e-10|           |
|20 43 17.3|+17 09 49|   4.50622e-09|         4.71781e-10|           |
|20 43 43.5|+27 40 56|   2.13375e-09|         4.15375e-10|PSR        |
|20 46 05.4|+49 54 37|   2.34483e-09|         6.12212e-10|spp        |
|20 46 29.1|+30 41 40|   1.20179e-09|         4.06121e-10|spp        |
|20 47 39.8|+10 55 54|   1.11204e-09|         2.97938e-10|           |
|20 49 09.9|+31 42 53|   1.66269e-09|         4.27886e-10|spp        |
|20 49 46.6|+10 03 01|   9.23701e-10|         2.89901e-10|agu        |
|20 50 10.5|+04 07 47|   1.19611e-09|         3.04554e-10|bzb        |
|20 52 15.5|+50 59 11|   2.63078e-09|         6.40737e-10|           |
|20 54 01.2|-33 07 09|   1.03841e-09|         0.00000e+00|           |
|20 55 12.5|+31 44 17|   1.96184e-09|         4.17794e-10|spp        |
|20 55 33.2|-00 23 33|   8.69886e-10|         0.00000e+00|bzb        |
|20 55 48.8|+25 39 45|   8.90053e-09|         6.48199e-10|PSR        |
|20 56 20.4|-47 14 18|   4.59848e-09|         5.03323e-10|bzq        |
|20 56 43.5|+49 38 37|   1.67270e-09|         6.15796e-10|           |
|20 57 29.5|+30 57 52|   1.77027e-09|         4.04078e-10|spp        |
|20 58 53.8|-39 03 34|   9.99837e-10|         0.00000e+00|           |
|21 03 00.8|-11 27 01|   7.22869e-10|         2.61584e-10|           |
|21 03 54.6|-62 37 33|   1.47508e-09|         3.10719e-10|agu        |
|21 04 38.8|+21 19 45|   9.81005e-10|         0.00000e+00|           |
|21 05 55.7|+69 17 48|   8.83867e-10|         3.83758e-10|           |
|21 07 34.6|+52 02 54|   3.24225e-09|         7.78853e-10|           |
|21 08 16.9|+52 46 08|   2.02780e-09|         0.00000e+00|           |
|21 08 32.3|-02 49 28|   5.65630e-10|         2.80676e-10|agu        |
|21 08 36.3|-66 46 35|   9.27497e-10|         2.81769e-10|agu        |
|21 10 00.0|+08 11 54|   1.63573e-09|         3.36302e-10|bzq        |
|21 10 23.1|+38 20 32|   9.78447e-10|         3.58264e-10|           |
|21 10 39.1|+04 03 33|   7.20244e-10|         2.76013e-10|           |
|21 11 21.6|+46 07 35|   6.93188e-09|         6.82391e-10|           |
|21 12 32.9|-30 44 09|   2.87275e-09|         4.10476e-10|           |
|21 15 33.0|+29 37 36|   1.91209e-09|         3.56698e-10|bzq        |
|21 16 12.0|+33 38 21|   1.76986e-09|         3.39553e-10|bzb        |
|21 16 50.7|+37 29 37|   1.86015e-09|         3.82119e-10|           |
|21 17 53.0|+00 16 32|   8.51803e-10|         2.61985e-10|bzq        |
|21 18 20.1|-32 37 58|   1.04032e-09|         3.36413e-10|           |
|21 20 13.2|-12 59 45|   9.97420e-10|         2.83073e-10|           |
|21 20 54.6|+19 01 49|   2.22526e-09|         3.71801e-10|bzq        |
|21 24 43.9|-33 58 45|   6.78061e-09|         5.72744e-10|PSR        |
|21 26 08.0|-46 03 30|   9.98363e-10|         3.06427e-10|bzq        |
|21 28 01.4|+36 23 48|   9.14258e-10|         3.40300e-10|           |
|21 29 51.1|-04 27 35|   1.04729e-09|         2.79586e-10|           |
|21 31 42.4|-09 14 06|   8.96339e-10|         2.70306e-10|bzb        |
|21 33 27.8|+25 32 43|   5.83628e-10|         2.71058e-10|           |
|21 34 01.9|-02 03 23|   8.12593e-10|         2.62059e-10|bzq        |
|21 34 18.3|-64 29 49|   9.49344e-10|         3.00953e-10|           |
|21 34 33.5|-21 30 21|   6.66164e-10|         2.67917e-10|           |
|21 35 54.0|-49 57 28|   7.66778e-10|         2.66665e-10|bzq        |
|21 39 23.9|-42 35 17|   8.28634e-09|         6.20208e-10|bzb        |
|21 39 56.9|+47 15 28|   3.82677e-09|         5.42721e-10|           |
|21 40 48.6|-67 43 45|   6.38654e-10|         0.00000e+00|           |
|21 43 09.5|-39 27 27|   1.21607e-09|         2.89813e-10|bzb        |
|21 43 28.3|+17 42 57|   4.93850e-09|         4.95841e-10|bzq        |
|21 45 24.8|-33 58 39|   1.31778e-09|         3.10244e-10|bzq        |
|21 46 41.3|-13 45 13|   1.48078e-09|         3.03559e-10|           |
|21 47 00.2|+31 19 37|   1.08418e-09|         0.00000e+00|           |
|21 47 16.5|+09 29 51|   4.11788e-09|         4.43379e-10|bzq        |
|21 48 32.1|+06 54 13|   7.48465e-10|         2.55641e-10|bzq        |
|21 49 42.9|+03 27 23|   1.01431e-09|         2.63878e-10|bzb        |
|21 50 18.5|-14 10 21|   8.43717e-10|         2.56286e-10|bzb        |
|21 52 24.2|-75 32 10|   6.98423e-10|         3.41998e-10|           |
|21 52 32.8|+17 34 55|   7.60908e-10|         2.59807e-10|bzb        |
|21 57 28.2|+31 29 54|   2.65386e-09|         3.99140e-10|bzq        |
|21 57 56.4|-15 03 00|   9.23551e-10|         2.79076e-10|bzq        |
|21 58 42.9|+65 47 35|   1.43576e-09|         4.24099e-10|           |
|21 58 50.8|-30 13 03|   2.71264e-08|         1.03384e-09|bzb        |
|21 59 57.2|-12 34 28|   1.00006e-09|         0.00000e+00|           |
|22 01 37.5|-83 27 23|   1.65080e-09|         3.93737e-10|bzq        |
|22 02 51.7|+42 16 45|   7.09992e-09|         5.98563e-10|bzb        |
|22 03 31.8|+17 26 19|   4.31619e-09|         4.58797e-10|bzq        |
|22 04 19.2|-50 17 46|   6.25510e-10|         3.02150e-10|           |
|22 04 38.9|+04 42 15|   1.34519e-09|         2.95580e-10|agn        |
|22 07 11.3|-00 21 44|   5.98836e-10|         2.85398e-10|bzb        |
|22 07 31.0|+64 40 18|   2.29921e-09|         5.14803e-10|           |
|22 07 51.2|-53 44 15|   1.64673e-09|         3.32071e-10|bzq        |
|22 08 38.8|+39 03 11|   7.72060e-10|         0.00000e+00|           |
|22 12 07.4|+23 58 12|   1.04535e-09|         2.74836e-10|bzq        |
|22 12 54.7|+06 54 55|   1.22576e-09|         2.97671e-10|bzq        |
|22 13 08.4|-25 29 14|   1.09537e-09|         0.00000e+00|bzq        |
|22 14 34.7|+59 49 43|   1.37309e-09|         5.96907e-10|           |
|22 14 49.3|+30 02 34|   4.93786e-09|         4.78524e-10|           |
|22 16 07.0|+51 39 35|   1.98966e-09|         3.90195e-10|           |
|22 17 08.8|+24 23 11|   1.42160e-09|         3.26640e-10|bzb        |
|22 19 19.8|+18 04 22|   6.25190e-10|         2.23658e-10|bzq        |
|22 22 35.5|-52 18 04|   7.36164e-10|         2.32654e-10|bzb        |
|22 23 18.9|+01 03 51|   7.16034e-10|         2.72746e-10|           |
|22 25 53.2|-04 57 31|   2.14795e-09|         3.62661e-10|bzq        |
|22 27 27.5|-78 04 16|   9.80988e-10|         3.24223e-10|           |
|22 27 42.2|-30 36 23|   9.27254e-10|         0.00000e+00|           |
|22 28 31.8|-16 33 51|   8.34920e-10|         0.00000e+00|           |
|22 29 05.3|+61 14 09|   2.85102e-08|         1.18479e-09|PSR        |
|22 29 46.7|-08 32 02|   4.60275e-09|         4.67870e-10|bzq        |
|22 32 31.2|+11 44 10|   4.09787e-09|         4.46542e-10|bzq        |
|22 34 51.2|+09 44 31|   1.13234e-09|         3.03216e-10|           |
|22 35 47.4|-48 17 23|   1.03072e-09|         2.91644e-10|bzq        |
|22 36 13.4|+28 28 01|   4.91265e-09|         4.73808e-10|bzq        |
|22 36 28.5|-14 32 51|   3.19607e-09|         4.08087e-10|bzb        |
|22 37 15.5|-39 19 35|   7.11109e-10|         2.38558e-10|bzq        |
|22 38 27.9|+59 03 42|   1.00971e-08|         8.41307e-10|PSR        |
|22 41 54.5|-52 36 55|   4.90399e-09|         4.90784e-10|           |
|22 43 09.0|-25 41 06|   1.83617e-09|         3.31700e-10|bzb        |
|22 43 27.7|+41 04 23|   6.08410e-10|         2.96448e-10|           |
|22 44 02.9|+20 21 49|   4.30038e-09|         4.31020e-10|bzb        |
|22 46 18.8|+15 49 16|   6.00937e-10|         2.88454e-10|           |
|22 47 18.5|+00 00 10|   1.06130e-09|         2.71584e-10|bzb        |
|22 50 06.6|+38 25 58|   1.41264e-09|         2.95031e-10|bzb        |
|22 50 52.2|-28 09 48|   3.03373e-09|         3.93680e-10|agn        |
|22 50 52.9|+63 36 54|   1.22582e-09|         5.35265e-10|           |
|22 51 17.5|-49 28 36|   6.87628e-10|         2.50305e-10|           |
|22 51 42.7|+40 30 27|   1.46392e-09|         3.06118e-10|bzb        |
|22 53 58.8|+16 08 58|   4.62116e-08|         1.30540e-09|BZQ        |
|22 56 07.0|+24 14 47|   1.18003e-09|         2.86420e-10|           |
|22 56 23.2|-20 09 06|   9.04638e-10|         2.41906e-10|bzb        |
|22 56 55.7|-10 24 16|   1.17475e-09|         2.76323e-10|           |
|22 57 59.3|-36 43 04|   8.91228e-10|         2.52498e-10|           |
|22 58 00.7|-27 57 12|   9.38625e-10|         2.72367e-10|bzq        |
|22 58 57.1|-55 25 39|   7.11293e-10|         0.00000e+00|bzb        |
|22 59 59.9|-82 55 54|   1.05620e-09|         3.96992e-10|           |
|23 00 26.3|+31 38 45|   1.05120e-09|         2.71188e-10|           |
|23 02 49.8|+44 44 00|   6.73527e-09|         5.69179e-10|           |
|23 04 23.0|+37 09 41|   6.84082e-10|         2.96104e-10|bzb        |
|23 07 20.5|+14 52 16|   1.86777e-09|         3.63103e-10|bzb        |
|23 10 02.1|-36 27 12|   5.49226e-10|         2.52979e-10|           |
|23 10 59.5|+02 04 56|   8.86818e-10|         2.64466e-10|           |
|23 11 04.9|+34 25 33|   2.41283e-09|         3.68122e-10|bzq        |
|23 14 11.7|+14 44 47|   9.32871e-10|         0.00000e+00|agu        |
|23 15 59.2|-50 14 27|   9.15456e-10|         2.57019e-10|bzb        |
|23 21 26.2|+17 38 47|   8.33845e-10|         0.00000e+00|           |
|23 21 40.2|+27 26 12|   6.51119e-10|         2.93029e-10|bzq        |
|23 22 00.2|+32 08 46|   1.55312e-09|         3.16562e-10|bzq        |
|23 22 22.4|-01 53 24|   1.07259e-09|         2.78318e-10|bzq        |
|23 22 37.0|+34 35 02|   7.83697e-10|         0.00000e+00|bzb        |
|23 23 02.3|-49 19 18|   8.26776e-10|         0.00000e+00|           |
|23 23 26.8|+58 49 23|   4.95699e-09|         6.52224e-10|spp        |
|23 23 33.9|-03 15 26|   2.37632e-09|         3.52819e-10|bzq        |
|23 23 33.9|+42 11 41|   2.02561e-09|         3.28017e-10|bzb        |
|23 25 15.9|+39 57 50|   3.26219e-09|         4.03280e-10|bzb        |
|23 25 32.5|-35 59 36|   2.95783e-09|         3.87027e-10|bzq        |
|23 25 39.3|-47 58 48|   5.89213e-10|         2.66240e-10|bzb        |
|23 25 50.7|-40 43 06|   2.56419e-09|         3.92363e-10|           |
|23 27 43.3|+09 43 31|   2.99213e-09|         3.95646e-10|bzq        |
|23 28 40.2|+12 09 17|   8.00374e-10|         2.63141e-10|           |
|23 29 12.1|+37 55 53|   1.28052e-09|         2.88930e-10|           |
|23 29 16.3|-49 54 10|   4.00034e-09|         4.55746e-10|bzq        |
|23 30 23.3|-47 45 45|   9.48084e-10|         2.74858e-10|           |
|23 31 01.9|-21 45 19|   3.45314e-09|         4.17125e-10|bzq        |
|23 33 01.7|-55 35 12|   7.73583e-10|         2.55373e-10|           |
|23 34 14.9|+43 19 10|   1.01240e-09|         0.00000e+00|           |
|23 34 21.0|+07 35 18|   1.22536e-09|         2.92144e-10|bzq        |
|23 34 47.7|+14 29 37|   8.57642e-10|         2.64129e-10|bzb        |
|23 38 22.6|-02 31 52|   1.53374e-09|         3.06469e-10|bzq        |
|23 39 05.6|+21 23 22|   4.99959e-10|         2.22883e-10|bzb        |
|23 39 42.8|-05 31 25|   5.14065e-09|         4.73137e-10|           |
|23 41 38.5|+80 15 49|   2.80675e-09|         3.98936e-10|bzb        |
|23 43 37.0|+34 37 30|   5.78248e-10|         2.42562e-10|bzb        |
